epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1226.93,1.95565,1.49862,1.27266,0.48024,0.54351,0.50291,0.21874,1.87207,1.43698,1.30651,0.0057925,0.0057925,0.0057925
87,1240.92,2.02065,1.57625,1.30679,0.53345,0.52941,0.55703,0.22386,1.86793,1.38593,1.30871,0.005743,0.005743,0.005743
88,1255.12,1.97274,1.50718,1.33426,0.48053,0.63235,0.55334,0.23758,1.8851,1.34803,1.31345,0.0056935,0.0056935,0.0056935
89,1269.19,2.00763,1.64194,1.32988,0.57693,0.63235,0.62564,0.25927,1.84066,1.30701,1.29192,0.005644,0.005644,0.005644
90,1283.31,1.98037,1.57301,1.30131,0.51852,0.66176,0.60723,0.24348,1.82324,1.37127,1.28202,0.0055945,0.0055945,0.0055945
91,1296.55,2.01174,1.48299,1.33808,0.51293,0.69118,0.57695,0.23343,1.81805,1.38582,1.27621,0.005545,0.005545,0.005545
92,1310.16,2.0284,1.54536,1.29518,0.51604,0.67647,0.56992,0.24646,1.80197,1.3923,1.26275,0.0054955,0.0054955,0.0054955
93,1324.71,2.05691,1.39951,1.27354,0.49078,0.58824,0.56418,0.25707,1.77589,1.39633,1.2541,0.005446,0.005446,0.005446
94,1339.16,1.85003,1.49577,1.24803,0.54752,0.53389,0.56663,0.26688,1.74885,1.37025,1.24592,0.0053965,0.0053965,0.0053965
95,1353.61,1.9857,1.55819,1.3365,0.525,0.61765,0.569,0.2632,1.78063,1.37691,1.26161,0.005347,0.005347,0.005347
96,1368.72,1.83657,1.69298,1.24911,0.49297,0.55763,0.56626,0.26732,1.82529,1.39214,1.27519,0.0052975,0.0052975,0.0052975
97,1383.36,2.00148,1.42277,1.26797,0.50434,0.57353,0.58678,0.26839,1.83187,1.38412,1.27442,0.005248,0.005248,0.005248
98,1395.22,1.91203,1.44479,1.25182,0.56253,0.61765,0.61072,0.27044,1.83054,1.35934,1.26975,0.0051985,0.0051985,0.0051985
99,1409.77,1.85108,1.49196,1.24124,0.59653,0.60294,0.6158,0.25676,1.8355,1.35574,1.26718,0.005149,0.005149,0.005149
100,1424.44,1.87817,1.39374,1.28721,0.59623,0.56467,0.62246,0.24409,1.84536,1.38084,1.27192,0.0050995,0.0050995,0.0050995
101,1438.86,1.94778,1.42758,1.32515,0.60149,0.60294,0.61871,0.25649,1.82768,1.39323,1.27051,0.00505,0.00505,0.00505
102,1453.63,1.987,1.55838,1.33938,0.58882,0.63177,0.58464,0.23517,1.88264,1.38119,1.30368,0.0050005,0.0050005,0.0050005
103,1468.24,2.05089,1.45453,1.33282,0.56765,0.61765,0.58627,0.23695,1.88526,1.33127,1.31415,0.004951,0.004951,0.004951
104,1482.74,2.1148,1.62903,1.34939,0.52578,0.72059,0.60857,0.25459,1.844,1.30507,1.28335,0.0049015,0.0049015,0.0049015
105,1497.51,1.98532,1.51612,1.28435,0.5202,0.70588,0.58934,0.26212,1.82416,1.31616,1.26508,0.004852,0.004852,0.004852
106,1512.19,1.94966,1.52486,1.29591,0.5091,0.67647,0.58936,0.23958,1.86363,1.30804,1.27714,0.0048025,0.0048025,0.0048025
107,1526.81,1.87864,1.48983,1.29165,0.47344,0.69118,0.61186,0.22944,1.86372,1.33842,1.2856,0.004753,0.004753,0.004753
108,1540.96,1.96702,1.48655,1.31422,0.50726,0.70588,0.64573,0.24195,1.83704,1.40358,1.27427,0.0047035,0.0047035,0.0047035
109,1555.28,1.81517,1.45844,1.19405,0.53363,0.7404,0.63915,0.26183,1.76367,1.47263,1.24712,0.004654,0.004654,0.004654
110,1569.05,1.88518,1.52448,1.21387,0.53842,0.64706,0.6325,0.29238,1.70709,1.50296,1.22128,0.0046045,0.0046045,0.0046045
111,1583.3,2.04344,1.99641,1.44218,0.52805,0.59238,0.62467,0.29676,1.71046,1.44303,1.22648,0.004555,0.004555,0.004555
112,1597.74,1.91157,1.38124,1.21877,0.51416,0.6537,0.61301,0.29282,1.74345,1.36187,1.24182,0.0045055,0.0045055,0.0045055
